checklist,taxonID,exemplar id,canonicalName
0,35498293,202,Capra falconeri falconeri
0,35498295,204,Capra falconeri megaceros
0,35498449,203,Capra falconeri jerdoni
0,35492136,205,Capra caucasica
0,35498290,205,Capra caucasica caucasica
0,35498292,206,Capra caucasica severtzovi
0,35498291,208,Capra caucasica cylindricornis
0,35492137,207,Capra cylindricornis
0,35489826,214,Capra hircus
0,35498298,211,Capra hircus chialtanensis
0,35498480,209,Capra falconeri chialtanensis
0,35498472,210,Capra falconeri chiltanensis
0,35498299,212,Capra hircus cretica
0,35498300,213,Capra hircus jourensis
0,35498296,214,Capra hircus hircus
0,35498297,216,Capra hircus aegagrus
0,35497787,215,Capra aegagrus
0,35498301,217,Capra hircus picta
0,54826868,13961,Capricornis
0,35497763,218,Capricornis rubidus
0,35497762,219,Capricornis milneedwardsii
0,35498302,219,Capricornis milneedwardsii milneedwardsii
0,35498303,220,Capricornis milneedwardsii maritimus
0,35497761,222,Capricornis crispus
0,35492150,221,Naemorhedus crispus
0,35497765,223,Capricornis swinhoei
0,35492152,223,Naemorhedus swinhoei
0,35497766,224,Capricornis thar
0,35497764,225,Capricornis sumatraensis
0,35492151,225,Naemorhedus sumatraensis
0,35492193,225,Capricornis sumatraensis sumatraensis
0,54830373,13962,Cephalophus
0,35497768,226,Cephalophus brookei
0,35492174,228,Cephalophus weynsi
0,35498363,227,Cephalophus weynsi lestradei
0,35498361,228,Cephalophus weynsi weynsi
0,35498362,229,Cephalophus weynsi johnstoni
0,35492173,230,Cephalophus spadix
0,35492172,231,Cephalophus rufilatus
0,35492170,232,Cephalophus ogilbyi
0,35498355,232,Cephalophus ogilbyi ogilbyi
0,35498356,233,Cephalophus ogilbyi crusalbum
0,35492169,236,Cephalophus nigrifrons
0,35498351,234,Cephalophus nigrifrons hooki
0,35498350,235,Cephalophus nigrifrons fosteri
0,35498349,236,Cephalophus nigrifrons nigrifrons
0,35498354,238,Cephalophus nigrifrons rubidus
0,35492171,237,Cephalophus rubidus
0,35498353,239,Cephalophus nigrifrons kivuensis
0,35498352,240,Cephalophus nigrifrons hypoxanthus
0,35492168,243,Cephalophus natalensis
0,35498348,242,Cephalophus natalensis harveyi
0,35492163,241,Cephalophus harveyi
0,35498347,243,Cephalophus natalensis natalensis
0,35492165,245,Cephalophus leucogaster
0,35498346,244,Cephalophus leucogaster arrhenii
0,35498345,245,Cephalophus leucogaster leucogaster
0,35492164,246,Cephalophus jentinki
0,35492162,248,Cephalophus dorsalis
0,35498344,247,Cephalophus dorsalis castaneus
0,35498343,248,Cephalophus dorsalis dorsalis
0,35492161,249,Cephalophus callipygus
0,35492160,250,Cephalophus adersi
0,35489879,251,Cephalophus niger
0,35489878,252,Cephalophus silvicultor
0,35498357,252,Cephalophus silvicultor silvicultor
0,35498358,253,Cephalophus silvicultor curticeps
0,35498359,254,Cephalophus silvicultor longiceps
0,35498360,255,Cephalophus silvicultor ruficrista
0,35489880,256,Cephalophus zebra
0,54843010,13963,Connochaetes
0,35492078,258,Connochaetes gnou
0,35497777,257,Connochaetes gnou
0,35492079,259,Connochaetes taurinus
0,35498134,259,Connochaetes taurinus taurinus
0,35498137,260,Connochaetes taurinus johnstoni
0,35498138,261,Connochaetes taurinus mearnsi
0,35498135,262,Connochaetes taurinus albojubatus
0,35498136,263,Connochaetes taurinus cooksoni
0,54853173,13964,Damaliscus
0,35497751,264,Damaliscus superstes
0,35497750,266,Damaliscus korrigum
0,35498141,265,Damaliscus korrigum topi
0,35498139,266,Damaliscus korrigum korrigum
0,35498140,267,Damaliscus korrigum jimela
0,35492080,268,Damaliscus pygargus
0,35498142,268,Damaliscus pygargus pygargus
0,35498143,269,Damaliscus pygargus phillipsi
0,35497798,270,Damaliscus dorcas
0,35492082,271,Damaliscus lunatus
0,54862873,13965,Dorcatragus
0,35492086,272,Dorcatragus megalotis
0,54874493,13966,Eudorcas
0,35497754,274,Eudorcas thomsonii
0,35498155,273,Eudorcas thomsonii nasalis
0,35498154,274,Eudorcas thomsonii thomsonii
0,35492102,274,Gazella thomsonii
0,35497753,275,Eudorcas rufina
0,35492097,275,Gazella rufina
0,35497752,277,Eudorcas rufifrons
0,35498150,276,Eudorcas rufifrons albonotata
0,35498149,277,Eudorcas rufifrons rufifrons
0,35498153,278,Eudorcas rufifrons tilonura
0,35498152,279,Eudorcas rufifrons laevipes
0,35498151,280,Eudorcas rufifrons kanuri
0,35492096,277,Gazella rufifrons
0,54883638,13967,Gazella
0,35497755,281,Gazella erlangeri
0,35492087,284,Gazella arabica
0,35498157,283,Gazella arabica bilkis
0,35492089,282,Gazella bilkis
0,35498156,284,Gazella arabica arabica
0,35492088,288,Gazella bennettii
0,35498161,285,Gazella bennettii karamii
0,35498160,286,Gazella bennettii fuscifrons
0,35498159,287,Gazella bennettii christii
0,35498158,288,Gazella bennettii bennettii
0,35498162,289,Gazella bennettii salinarum
0,35498163,290,Gazella bennettii shikarii
0,35492090,291,Gazella cuvieri
0,35492092,296,Gazella dorcas
0,35498166,292,Gazella dorcas isabella
0,35498167,293,Gazella dorcas massaesyla
0,35498168,294,Gazella dorcas osiris
0,35498169,295,Gazella dorcas pelzelnii
0,35498164,296,Gazella dorcas dorcas
0,35498165,297,Gazella dorcas beccarii
0,35492098,299,Gazella saudiya
0,35498476,298,Gazella dorcas saudiya
0,35492095,300,Gazella leptoceros
0,35498176,300,Gazella leptoceros leptoceros
0,35498177,301,Gazella leptoceros loderi
0,35492093,304,Gazella gazella
0,35498174,302,Gazella gazella farasani
0,35498175,303,Gazella gazella muscatensis
0,35498170,304,Gazella gazella gazella
0,35498171,305,Gazella gazella acaciae
0,35498172,306,Gazella gazella cora
0,35498173,307,Gazella gazella darehshourii
0,35492101,309,Gazella subgutturosa
0,35498179,308,Gazella subgutturosa hillieriana
